report_date,region,class,commodity,variety,organic,unit,environment,price_min,price_max,current_ad_count,current_wtd_avg_price,priorwk_ad_count,priorwk_wtd_avg_price,prioryr_ad_count,prioryr_wtd_avg_price
12/20/2024,Northeast,Fruit,Oranges,NAVEL,No,each,N/A,0.25,2,1114,0.99,,,,
12/20/2024,Northeast,Fruit,Apples,COSMIC CRISP,Yes,per lb,N/A,1.99,3.32,542,2.29,,,,
12/20/2024,Northeast,Fruit,Apples,Envy,Yes,per lb,N/A,2.66,2.66,122,2.66,,,,
12/20/2024,Northeast,Fruit,Apples,Gala/Royal Gala,Yes,per lb,N/A,1.99,2.99,56,2.67,,,,
12/20/2024,Northeast,Fruit,Apples,GRANNY SMITH,Yes,per lb,N/A,1.99,1.99,65,1.99,,,,
12/20/2024,Northeast,Fruit,Oranges,"Navel, Cara Cara",No,each,N/A,0.89,1.67,386,1.09,,,,
12/20/2024,Northeast,Fruit,Apples,FUJI,Yes,per lb,N/A,1.99,2.99,48,2.78,,,,
12/20/2024,Northeast,Fruit,Apples,Gala/Royal Gala,No,2 lb bag,N/A,2,2.5,193,2.48,,,,
12/20/2024,Northeast,Fruit,Apples,COSMIC CRISP,No,per lb,N/A,1.68,2.99,142,2.1,,,,
12/20/2024,Northeast,Fruit,Apples,Envy,No,per lb,N/A,1.99,1.99,24,1.99,,,,
12/20/2024,Northeast,Fruit,Apples,Gala/Royal Gala,No,per lb,N/A,0.99,1.99,523,1.64,,,,
12/20/2024,Northeast,Fruit,Apples,ROME,No,per lb,N/A,0.99,1.49,197,1.47,,,,
12/20/2024,Northeast,Fruit,Oranges,NAVEL,Yes,3 lb bag,N/A,4.99,4.99,75,4.99,,,,
12/20/2024,Northeast,Fruit,Apples,RED DELICIOUS,No,per lb,N/A,0.99,1.49,110,1.45,,,,
12/20/2024,Northeast,Fruit,Apples,PINK LADY/CRIPPS PINK,No,per lb,N/A,0.99,1.99,421,1.97,,,,
12/20/2024,Northeast,Fruit,Oranges,NAVEL,Yes,per lb,N/A,2.21,2.21,122,2.21,,,,
12/20/2024,Northeast,Fruit,Oranges,NAVEL,Yes,each,N/A,1.25,1.67,81,1.47,,,,
12/20/2024,Northeast,Fruit,Papaya,MARADOL/TAINUNG TYPES,No,per lb,N/A,1.29,1.99,28,1.77,,,,
12/20/2024,Northeast,Fruit,Apples,MCINTOSH,No,per lb,N/A,1.69,1.69,19,1.69,,,,
12/20/2024,Northeast,Fruit,Apples,HONEYCRISP,No,per lb,N/A,0.99,3.1,295,2.64,,,,
12/20/2024,Northeast,Fruit,Apples,GRANNY SMITH,No,per lb,N/A,0.99,2.49,950,1.76,,,,
12/20/2024,Northeast,Fruit,Apples,GOLDEN DELICIOUS,No,per lb,N/A,0.99,1.69,61,1.49,,,,
12/20/2024,Northeast,Fruit,Papaya,SOLO TYPE,No,per lb,N/A,1.49,1.49,322,1.49,,,,
12/20/2024,Northeast,Fruit,Pears,BARTLETT,No,per lb,N/A,1.99,2.49,184,2.1,,,,
12/20/2024,Northeast,Fruit,Pears,BOSC,No,per lb,N/A,1.99,2.49,80,2.23,,,,
12/20/2024,Northeast,Fruit,Pears,D'ANJOU,No,per lb,N/A,1.99,2.49,73,2.26,,,,
12/20/2024,Northeast,Fruit,Pears,D'ANJOU,Yes,per lb,N/A,2.54,2.54,122,2.54,,,,
12/20/2024,Northeast,Fruit,Apples,FUJI,No,per lb,N/A,0.99,2.49,676,1.87,,,,
12/20/2024,Northeast,Fruit,Apples,CORTLAND,No,per lb,N/A,1.66,1.66,122,1.66,,,,
12/20/2024,Northeast,Fruit,Apples,AMBROSIA,No,per lb,N/A,1.99,1.99,104,1.99,,,,
12/20/2024,Northeast,Fruit,Apples,Gala/Royal Gala,No,5 lb bag,N/A,3.99,3.99,175,3.99,,,,
12/20/2024,Northeast,Fruit,Apples,RED DELICIOUS,No,5 lb bag,N/A,3.99,3.99,175,3.99,,,,
12/20/2024,Northeast,Fruit,Apples,GOLDEN DELICIOUS,No,5 lb bag,N/A,3.99,3.99,175,3.99,,,,
12/20/2024,Northeast,Fruit,Apples,FUJI,No,5 lb bag,N/A,4.99,4.99,13,4.99,,,,
12/20/2024,Northeast,Fruit,Apples,RED DELICIOUS,No,3 lb bag,N/A,2,2,8,2,,,,
12/20/2024,Northeast,Fruit,Apples,PINK LADY/CRIPPS PINK,No,3 lb bag,N/A,2.89,2.89,86,2.89,,,,
12/20/2024,Northeast,Fruit,Apples,MCINTOSH,No,3 lb bag,N/A,2,3.99,158,3.43,,,,
12/20/2024,Northeast,Fruit,Apples,GRANNY SMITH,No,3 lb bag,N/A,3.99,3.99,413,3.99,,,,
12/20/2024,Northeast,Fruit,Persimmons,N/A,No,each,N/A,2,2.5,19,2.26,,,,
12/20/2024,Northeast,Fruit,Pineapples,N/A,No,each,N/A,1.49,4.99,3016,2.14,,,,
12/20/2024,Northeast,Fruit,Apples,GOLDEN DELICIOUS,No,3 lb bag,N/A,2,2,8,2,,,,
12/20/2024,Northeast,Fruit,Apples,CORTLAND,No,3 lb bag,N/A,2.99,3.49,204,3.34,,,,
12/20/2024,Northeast,Fruit,Apple Pears,N/A,No,per lb,N/A,2.49,2.49,6,2.49,,,,
12/20/2024,Northeast,Fruit,Pomegranates,N/A,No,per lb,N/A,2.99,2.99,32,2.99,,,,
12/20/2024,Northeast,Fruit,Pomegranates,N/A,No,each,N/A,1.99,3.99,1640,2.49,,,,
12/20/2024,Northeast,Fruit,Raspberries,N/A,No,6 oz package,N/A,3,3.99,504,3.34,,,,
12/20/2024,Northeast,Fruit,Clementines,N/A,No,3 lb bag,N/A,2.49,5.99,681,4.46,,,,
12/20/2024,Northeast,Fruit,Cherries,RED VARIETIES,No,per lb,N/A,3.99,7.99,955,5.66,,,,
12/20/2024,Northeast,Fruit,Clementines,N/A,No,5 lb package,N/A,6.99,6.99,19,6.99,,,,
12/20/2024,Northeast,Fruit,Clementines,N/A,No,2 lb bag,N/A,2.99,4.99,138,3.76,,,,
12/20/2024,Northeast,Fruit,Clementines,N/A,Yes,2 lb bag,N/A,2.49,4.99,264,4.29,,,,
12/20/2024,Northeast,Fruit,Cranberries,N/A,No,12 oz bag,N/A,1.99,3,726,2.41,,,,
12/20/2024,Northeast,Fruit,Grapefruit,RED,No,4 lb film bags,N/A,5.99,5.99,29,5.99,,,,
12/20/2024,Northeast,Fruit,Grapefruit,RED,No,each,N/A,0.75,2.5,286,2.19,,,,
12/20/2024,Northeast,Fruit,Grapefruit,RED,Yes,4 lb film bags,N/A,4.99,4.99,7,4.99,,,,
12/20/2024,Northeast,Fruit,Grapes,BLACK SEEDLESS,No,per lb,N/A,2.49,2.99,199,2.96,,,,
12/20/2024,Northeast,Fruit,Grapes,RED SEEDLESS,No,per lb,N/A,1.99,3.99,995,2.68,,,,
12/20/2024,Northeast,Fruit,Grapes,WHITE SEEDLESS TYPE,No,per lb,N/A,1.99,3.99,858,2.74,,,,
12/20/2024,Northeast,Fruit,Cantaloupes,N/A,No,each,N/A,2.5,3.99,628,3.12,,,,
12/20/2024,Northeast,Fruit,Blueberries,N/A,Yes,1 pint (11-12 oz cntr w/ lid),N/A,2.99,5.54,277,5.03,,,,
12/20/2024,Northeast,Fruit,Blueberries,N/A,No,6 oz package,N/A,2.5,3.99,184,2.97,,,,
12/20/2024,Northeast,Fruit,Blueberries,N/A,No,1 pint (11-12 oz cntr w/ lid),N/A,1.88,4.49,1607,2.65,,,,
12/20/2024,Northeast,Fruit,Blueberries,N/A,No,18 oz package,N/A,5.99,5.99,46,5.99,,,,
12/20/2024,Northeast,Fruit,Blackberries,N/A,Yes,5.6-6 oz package,N/A,3.99,4.49,264,4.13,,,,
12/20/2024,Northeast,Fruit,Blackberries,N/A,No,5.6-6 oz package,N/A,1.88,3.99,741,2.85,,,,
12/20/2024,Northeast,Fruit,Grapes,Red Globe Seeded Type,No,per lb,N/A,2.99,2.99,75,2.99,,,,
12/20/2024,Northeast,Fruit,Grapes,RED SEEDLESS,Yes,per lb,N/A,4.99,4.99,9,4.99,,,,
12/20/2024,Northeast,Fruit,Bananas,N/A,Yes,per lb,N/A,0.88,0.99,72,0.94,,,,
12/20/2024,Northeast,Fruit,Bananas,N/A,No,per lb,N/A,0.59,0.69,128,0.64,,,,
12/20/2024,Northeast,Fruit,Avocados,Hass-Marked Large,Yes,each,N/A,2.78,2.78,122,2.78,,,,
12/20/2024,Northeast,Fruit,Avocados,HASS,Yes,each,N/A,1.5,1.5,190,1.5,,,,
12/20/2024,Northeast,Fruit,Avocados,VARIOUS GREENSKIN VARIETIES,No,each,N/A,0.99,1.99,512,1.36,,,,
12/20/2024,Northeast,Fruit,Avocados,HASS,No,each,N/A,0.89,1.99,644,1.25,,,,
12/20/2024,Northeast,Fruit,Apples,Gala/Royal Gala,Yes,2 lb bag,N/A,3.99,4.99,265,4.71,,,,
12/20/2024,Northeast,Fruit,Grapes,WHITE SEEDLESS TYPE,Yes,per lb,N/A,4.99,4.99,9,4.99,,,,
12/20/2024,Northeast,Fruit,Honeydews,N/A,No,each,N/A,3,3.99,426,3.75,,,,
12/20/2024,Northeast,Fruit,Kiwifruit,HAYWARD,No,1 lb bag,N/A,0.66,0.66,65,0.66,,,,
12/20/2024,Northeast,Fruit,Kiwifruit,HAYWARD,No,each,N/A,0.5,0.67,194,0.51,,,,
12/20/2024,Northeast,Fruit,Lemons,N/A,No,2 lb bag,N/A,2.49,4.99,559,3.86,,,,
12/20/2024,Northeast,Fruit,Lemons,N/A,No,each,N/A,0.4,0.83,1094,0.59,,,,
12/20/2024,Northeast,Fruit,Lemons,N/A,Yes,2 lb bag,N/A,3.98,4.99,252,4.77,,,,
12/20/2024,Northeast,Fruit,Apples,GRANNY SMITH,Yes,2 lb bag,N/A,4.99,4.99,190,4.99,,,,
12/20/2024,Northeast,Fruit,Limes,N/A,No,each,N/A,0.19,0.83,1184,0.47,,,,
12/20/2024,Northeast,Fruit,Mangoes,Round Varieties,No,each,N/A,0.79,1.5,336,1.01,,,,
12/20/2024,Northeast,Fruit,Mangoes,Round Varieties,Yes,each,N/A,2.49,2.49,7,2.49,,,,
12/20/2024,Northeast,Fruit,Oranges,NAVEL,No,3 lb bag,N/A,4.99,4.99,35,4.99,,,,
12/20/2024,Northeast,Fruit,Oranges,"Navel, Cara Cara",No,3 lb bag,N/A,4.99,4.99,7,4.99,,,,
12/20/2024,Northeast,Fruit,Apples,FUJI,Yes,2 lb bag,N/A,4.99,4.99,190,4.99,,,,
12/20/2024,Northeast,Fruit,Oranges,NAVEL,No,per lb,N/A,1.25,1.99,38,1.63,,,,
12/20/2024,Northeast,Fruit,Oranges,"Navel, Cara Cara",No,per lb,N/A,1.5,1.99,38,1.71,,,,
12/20/2024,Northeast,Fruit,Oranges,NAVEL,No,4 lb bag,N/A,1.99,5.99,1369,4.02,,,,
12/20/2024,Northeast,Fruit,Oranges,VALENCIA,No,4 lb bag,N/A,5.99,5.99,37,5.99,,,,
12/20/2024,Northeast,Fruit,Strawberries,N/A,Yes,1 lb package,N/A,6.99,6.99,9,6.99,,,,
12/20/2024,Northeast,Fruit,Watermelons,RED FLESH SEEDLESS MINIATURE,No,each,N/A,3.99,3.99,434,3.99,,,,
12/20/2024,Northeast,Fruit,"Apples, Processed",JUICE,No,64 oz (1/2 gallon),N/A,1.99,4.79,719,2.97,,,,
12/20/2024,Northeast,Fruit,"Apples, Processed",JUICE MARKED CIDER,No,64 oz (1/2 gallon),N/A,2.99,4.99,511,4.03,,,,
12/20/2024,Northeast,Fruit,"Apples, Processed",JUICE MARKED CIDER,No,128 oz (1 gallon),N/A,4.99,7.99,451,5.4,,,,
12/20/2024,Northeast,Fruit,"Apples, Processed",JUICE MARKED CIDER,Yes,128 oz (1 gallon),N/A,6.99,6.99,183,6.99,,,,
12/20/2024,Northeast,Fruit,Tangerines/Mandarins,N/A,No,3 lb bag,N/A,2.49,6.99,1201,3.65,,,,
12/20/2024,Northeast,Fruit,Tangerines/Mandarins,N/A,No,per lb,N/A,1.99,3.99,556,3.2,,,,
12/20/2024,Northeast,Fruit,Strawberries,N/A,No,1 lb package,N/A,3,5.99,130,3.4,,,,
12/20/2024,Northeast,Fruit,Tangerines/Mandarins,N/A,No,2 lb bag,N/A,2.99,5,545,3.71,,,,
12/20/2024,Northeast,Fruit,Tangerines/Mandarins,N/A,Yes,2 lb bag,N/A,3.99,5.99,649,4.61,,,,
12/20/2024,Northeast,Fruit,Raspberries,N/A,Yes,6 oz package,N/A,3.99,4.49,264,4.13,,,,
12/20/2024,Northeast,Fruit,Tangerines/Mandarins,N/A,No,each,N/A,1.25,2.99,46,2.27,,,,
12/13/2024,Northeast,Fruit,Blueberries,N/A,No,6 oz package,N/A,2.5,2.5,175,2.5,,,,
12/13/2024,Northeast,Fruit,Blueberries,N/A,No,1 pint (11-12 oz cntr w/ lid),N/A,1.99,6.99,2334,2.99,,,,
12/13/2024,Northeast,Fruit,Blueberries,N/A,No,18 oz package,N/A,5.54,5.99,413,5.86,,,,
12/13/2024,Northeast,Fruit,Blackberries,N/A,Yes,5.6-6 oz package,N/A,3.99,4.49,255,4.13,,,,
12/13/2024,Northeast,Fruit,Blackberries,N/A,No,1 pint (11-12 oz cntr w/ lid),N/A,5.99,5.99,162,5.99,,,,
12/13/2024,Northeast,Fruit,Blackberries,N/A,No,5.6-6 oz package,N/A,1.89,3.99,2002,2.6,,,,
12/13/2024,Northeast,Fruit,Bananas,N/A,Yes,per lb,N/A,0.88,0.88,34,0.88,,,,
12/13/2024,Northeast,Fruit,Bananas,N/A,No,per lb,N/A,0.59,0.59,9,0.59,,,,
12/13/2024,Northeast,Fruit,Avocados,HASS,Yes,each,N/A,1.5,2.5,228,1.67,,,,
12/13/2024,Northeast,Fruit,Avocados,Hass-Marked Large,No,each,N/A,1.99,1.99,122,1.99,,,,
12/13/2024,Northeast,Fruit,Avocados,HASS,No,each,N/A,0.88,1.67,1480,1.18,,,,
12/13/2024,Northeast,Fruit,Apples,Gala/Royal Gala,Yes,2 lb bag,N/A,3.99,3.99,46,3.99,,,,
12/13/2024,Northeast,Fruit,Apples,COSMIC CRISP,Yes,per lb,N/A,1.99,1.99,7,1.99,,,,
12/13/2024,Northeast,Fruit,Apples,Envy,Yes,per lb,N/A,2.66,2.66,122,2.66,,,,
12/13/2024,Northeast,Fruit,Apples,Gala/Royal Gala,Yes,per lb,N/A,1.99,1.99,17,1.99,,,,
12/13/2024,Northeast,Fruit,Apples,OPAL,Yes,per lb,N/A,2.54,2.54,122,2.54,,,,
12/13/2024,Northeast,Fruit,Apples,GRANNY SMITH,Yes,per lb,N/A,1.99,1.99,17,1.99,,,,
12/13/2024,Northeast,Fruit,Apples,FUJI,Yes,per lb,N/A,1.99,2.21,132,2.19,,,,
12/13/2024,Northeast,Fruit,Apples,Gala/Royal Gala,Yes,3 lb bag,N/A,4.99,4.99,46,4.99,,,,
12/13/2024,Northeast,Fruit,Apples,COSMIC CRISP,No,2 lb bag,N/A,2.49,2.49,442,2.49,,,,
12/13/2024,Northeast,Fruit,Apples,Gala/Royal Gala,No,2 lb bag,N/A,2.5,2.5,144,2.5,,,,
12/13/2024,Northeast,Fruit,Apples,RED DELICIOUS,No,2 lb bag,N/A,2.5,2.5,144,2.5,,,,
12/13/2024,Northeast,Fruit,Apples,MCINTOSH,No,2 lb bag,N/A,2.5,2.5,37,2.5,,,,
12/13/2024,Northeast,Fruit,Apples,EMPIRE,No,2 lb bag,N/A,2.5,2.5,144,2.5,,,,
12/13/2024,Northeast,Fruit,Apples,COSMIC CRISP,No,per lb,N/A,0.99,2.49,162,1.76,,,,
12/13/2024,Northeast,Fruit,Apples,Envy,No,per lb,N/A,1.29,1.99,96,1.36,,,,
12/13/2024,Northeast,Fruit,Apples,Jazz,No,per lb,N/A,1.99,1.99,65,1.99,,,,
12/13/2024,Northeast,Fruit,Apples,Gala/Royal Gala,No,per lb,N/A,0.99,2.49,414,1.44,,,,
12/13/2024,Northeast,Fruit,Apples,RED DELICIOUS,No,per lb,N/A,0.99,1.49,62,1.42,,,,
12/13/2024,Northeast,Fruit,Apples,PINK LADY/CRIPPS PINK,No,per lb,N/A,0.99,1.99,153,1.84,,,,
12/13/2024,Northeast,Fruit,Apples,MCINTOSH,No,per lb,N/A,1.29,1.69,94,1.37,,,,
12/13/2024,Northeast,Fruit,Apples,JONATHAN,No,per lb,N/A,0.99,0.99,9,0.99,,,,
12/13/2024,Northeast,Fruit,Apples,JONAGOLD,No,per lb,N/A,0.99,0.99,9,0.99,,,,
12/13/2024,Northeast,Fruit,Apples,HONEYCRISP,No,per lb,N/A,1.49,3.1,559,2.21,,,,
12/13/2024,Northeast,Fruit,Apples,GRANNY SMITH,No,per lb,N/A,0.99,2.49,383,1.74,,,,
12/13/2024,Northeast,Fruit,Apples,GOLDEN DELICIOUS,No,per lb,N/A,0.99,1.69,62,1.48,,,,
12/13/2024,Northeast,Fruit,Apples,FUJI,No,per lb,N/A,0.99,1.99,219,1.5,,,,
12/13/2024,Northeast,Fruit,Apples,EMPIRE,No,per lb,N/A,0.99,0.99,9,0.99,,,,
12/13/2024,Northeast,Fruit,Apples,AMBROSIA,No,per lb,N/A,0.99,1.29,55,1.24,,,,
12/13/2024,Northeast,Fruit,Apples,Gala/Royal Gala,No,3 lb bag,N/A,2.99,3.99,43,3.87,,,,
12/13/2024,Northeast,Fruit,Apples,RED DELICIOUS,No,3 lb bag,N/A,2.99,3.99,67,3.56,,,,
12/13/2024,Northeast,Fruit,Apples,MCINTOSH,No,3 lb bag,N/A,3.49,3.99,182,3.59,,,,
12/13/2024,Northeast,Fruit,Apples,GRANNY SMITH,No,3 lb bag,N/A,2.99,3.99,763,3.98,,,,
12/13/2024,Northeast,Fruit,Apples,GINGER GOLD,No,3 lb bag,N/A,3.99,3.99,38,3.99,,,,
12/13/2024,Northeast,Fruit,Apple Pears,N/A,No,per lb,N/A,1.29,1.29,6,1.29,,,,
12/13/2024,Northeast,Fruit,Oranges,NAVEL,Yes,each,N/A,1.66,1.67,43,1.66,,,,
12/13/2024,Northeast,Fruit,Papaya,MARADOL/TAINUNG TYPES,No,per lb,N/A,0.99,1.29,17,1.15,,,,
12/13/2024,Northeast,Fruit,Pears,BARTLETT,No,per lb,N/A,0.99,2.49,260,2.04,,,,
12/13/2024,Northeast,Fruit,Pears,BOSC,No,per lb,N/A,1.69,2.49,69,2.04,,,,
12/13/2024,Northeast,Fruit,Pears,D'ANJOU,No,per lb,N/A,1.69,2.49,257,2.08,,,,
12/13/2024,Northeast,Fruit,Pears,D'ANJOU,Yes,per lb,N/A,2.49,2.54,157,2.53,,,,
12/13/2024,Northeast,Fruit,Pears,BOSC,Yes,2 lb bag,N/A,4.99,4.99,190,4.99,,,,
12/13/2024,Northeast,Fruit,Oranges,NAVEL,Yes,4 lb bag,N/A,5.99,5.99,183,5.99,,,,
12/13/2024,Northeast,Fruit,Oranges,NAVEL,Yes,per lb,N/A,2.21,2.21,122,2.21,,,,
12/13/2024,Northeast,Fruit,Oranges,"Navel, Cara Cara",No,each,N/A,1.25,1.25,183,1.25,,,,
12/13/2024,Northeast,Fruit,Persimmons,N/A,No,each,N/A,2,2,9,2,,,,
12/13/2024,Northeast,Fruit,Pineapples,N/A,No,each,N/A,1.49,3.99,1046,2.68,,,,
12/13/2024,Northeast,Fruit,Pomegranates,N/A,No,per lb,N/A,2.99,2.99,32,2.99,,,,
12/13/2024,Northeast,Fruit,Pomegranates,N/A,No,each,N/A,1.99,3.99,1168,2.57,,,,
12/13/2024,Northeast,Fruit,Raspberries,N/A,No,1 pint (11-12 oz cntr w/ lid),N/A,5.99,5.99,162,5.99,,,,
12/13/2024,Northeast,Fruit,Raspberries,N/A,No,6 oz package,N/A,2.5,4.49,672,3.57,,,,
12/13/2024,Northeast,Fruit,Raspberries,N/A,Yes,6 oz package,N/A,3.99,3.99,183,3.99,,,,
12/13/2024,Northeast,Fruit,Strawberries,N/A,No,1 lb package,N/A,3.99,4.99,47,4.63,,,,
12/13/2024,Northeast,Fruit,"Apples, Processed",JUICE,No,64 oz (1/2 gallon),N/A,0.99,3.99,1179,3.14,,,,
12/13/2024,Northeast,Fruit,"Apples, Processed",JUICE MARKED CIDER,No,64 oz (1/2 gallon),N/A,2.99,7.99,613,4.34,,,,
12/13/2024,Northeast,Fruit,"Apples, Processed",JUICE MARKED CIDER,No,128 oz (1 gallon),N/A,5.99,6.99,261,6.69,,,,
12/13/2024,Northeast,Fruit,Tangerines/Mandarins,N/A,No,3 lb bag,N/A,2.99,6.99,1597,4.18,,,,
12/13/2024,Northeast,Fruit,Tangerines/Mandarins,N/A,No,2 lb bag,N/A,3.99,5.99,1107,4.34,,,,
12/13/2024,Northeast,Fruit,Tangerines/Mandarins,N/A,No,each,N/A,1,1,19,1,,,,
12/13/2024,Northeast,Fruit,Tangerines/Mandarins,N/A,Yes,2 lb bag,N/A,3.99,5.99,338,5.16,,,,
12/13/2024,Northeast,Fruit,Satsumas,N/A,No,each,N/A,1.99,1.99,8,1.99,,,,
12/13/2024,Northeast,Fruit,Oranges,NAVEL,No,each,N/A,0.25,1.67,1244,1.03,,,,
12/13/2024,Northeast,Fruit,Oranges,NAVEL,No,4 lb bag,N/A,2.99,5.99,514,4.36,,,,
12/13/2024,Northeast,Fruit,Oranges,NAVEL,No,8 lb bag,N/A,9.99,9.99,183,9.99,,,,
12/13/2024,Northeast,Fruit,Oranges,"Navel, Cara Cara",No,3 lb bag,N/A,3.99,4.99,25,4.67,,,,
12/13/2024,Northeast,Fruit,Oranges,NAVEL,No,3 lb bag,N/A,3.49,4.99,382,3.77,,,,
12/13/2024,Northeast,Fruit,Mangoes,Round Varieties,Yes,each,N/A,2.99,2.99,7,2.99,,,,
12/13/2024,Northeast,Fruit,Mangoes,Round Varieties Marked Large,No,each,N/A,1.25,1.67,220,1.6,,,,
12/13/2024,Northeast,Fruit,Mangoes,Round Varieties,No,each,N/A,0.75,1.67,1895,0.92,,,,
12/13/2024,Northeast,Fruit,Limes,N/A,No,each,N/A,0.2,0.79,444,0.32,,,,
12/13/2024,Northeast,Fruit,Lemons,N/A,Yes,2 lb bag,N/A,3.99,4.99,205,4.92,,,,
12/13/2024,Northeast,Fruit,Lemons,N/A,No,each,N/A,0.2,0.83,267,0.61,,,,
12/13/2024,Northeast,Fruit,Lemons,N/A,No,2 lb bag,N/A,2.49,3.99,431,3.1,,,,
12/13/2024,Northeast,Fruit,Lemons,N/A,No,1 lb bag,N/A,3.99,3.99,190,3.99,,,,
12/13/2024,Northeast,Fruit,Kiwifruit,HAYWARD,No,each,N/A,0.5,0.83,135,0.71,,,,
12/13/2024,Northeast,Fruit,Honeydews,N/A,No,each,N/A,3.99,3.99,437,3.99,,,,
12/13/2024,Northeast,Fruit,Grapes,WHITE SEEDLESS TYPE,Yes,per lb,N/A,4.99,4.99,9,4.99,,,,
12/13/2024,Northeast,Fruit,Grapes,RED SEEDLESS,Yes,per lb,N/A,4.99,4.99,9,4.99,,,,
12/13/2024,Northeast,Fruit,Grapes,Red Globe Seeded Type,No,per lb,N/A,1.99,2.99,104,2.71,,,,
12/13/2024,Northeast,Fruit,Grapes,WHITE SEEDLESS TYPE,No,per lb,N/A,0.99,3.99,627,2.41,,,,
12/13/2024,Northeast,Fruit,Grapes,RED SEEDLESS,No,per lb,N/A,1.99,3.99,310,2.71,,,,
12/13/2024,Northeast,Fruit,Grapes,BLACK SEEDLESS,No,per lb,N/A,2.79,2.79,11,2.79,,,,
12/13/2024,Northeast,Fruit,Grapefruit,RED,No,each,N/A,1.25,2.5,420,1.89,,,,
12/13/2024,Northeast,Fruit,Cranberries,N/A,No,12 oz bag,N/A,1.99,3,644,2.43,,,,
12/13/2024,Northeast,Fruit,Clementines,N/A,Yes,2 lb bag,N/A,3.49,6.49,222,4.88,,,,
12/13/2024,Northeast,Fruit,Clementines,N/A,No,2 lb bag,N/A,4.99,4.99,42,4.99,,,,
12/13/2024,Northeast,Fruit,Clementines,N/A,No,5 lb bag,N/A,6.99,6.99,19,6.99,,,,
12/13/2024,Northeast,Fruit,Clementines,N/A,No,3 lb bag,N/A,3.49,5.99,444,5.12,,,,
12/13/2024,Northeast,Fruit,Cherries,RED VARIETIES,No,per lb,N/A,5.99,8.99,526,6.44,,,,
12/13/2024,Northeast,Fruit,Cantaloupes,N/A,No,each,N/A,1.99,3.99,1132,2.58,,,,
12/13/2024,Northeast,Fruit,Blueberries,N/A,Yes,6 oz package,N/A,2.99,3.99,24,3.66,,,,
12/13/2024,Northeast,Fruit,Blueberries,N/A,Yes,1 pint (11-12 oz cntr w/ lid),N/A,2.99,5.54,462,4.51,,,,
12/6/2024,Northeast,Fruit,Apples,Gala/Royal Gala,No,3 lb bag,N/A,2.5,3.99,420,3.04,,,,
12/6/2024,Northeast,Fruit,Apples,RED DELICIOUS,No,3 lb bag,N/A,2.99,3,24,3,,,,
12/6/2024,Northeast,Fruit,Apples,PINK LADY/CRIPPS PINK,No,3 lb bag,N/A,3.49,3.49,185,3.49,,,,
12/6/2024,Northeast,Fruit,Apples,MCINTOSH,No,3 lb bag,N/A,2.49,2.49,78,2.49,,,,
12/6/2024,Northeast,Fruit,Apples,GRANNY SMITH,No,3 lb bag,N/A,2.89,3.49,646,3.07,,,,
12/6/2024,Northeast,Fruit,Apple Pears,N/A,No,per lb,N/A,2.49,2.49,6,2.49,,,,
12/6/2024,Northeast,Fruit,Satsumas,N/A,No,per lb,N/A,1.99,1.99,8,1.99,,,,
12/6/2024,Northeast,Fruit,Tangerines/Mandarins,N/A,Yes,2 lb bag,N/A,3.99,5.99,819,4.69,,,,
12/6/2024,Northeast,Fruit,Tangerines/Mandarins,N/A,No,2 lb bag,N/A,2.99,5.99,554,4.05,,,,
12/6/2024,Northeast,Fruit,Tangerines/Mandarins,N/A,No,per lb,N/A,2.69,2.69,6,2.69,,,,
12/6/2024,Northeast,Fruit,Tangerines/Mandarins,N/A,No,3 lb bag,N/A,3.99,6.99,622,4.88,,,,
12/6/2024,Northeast,Fruit,"Apples, Processed",JUICE MARKED CIDER,No,128 oz (1 gallon),N/A,6.99,7.99,247,7.13,,,,
12/6/2024,Northeast,Fruit,"Apples, Processed",JUICE,No,128 oz (1 gallon),N/A,6.99,6.99,38,6.99,,,,
12/6/2024,Northeast,Fruit,"Apples, Processed",JUICE MARKED CIDER,No,64 oz (1/2 gallon),N/A,3.99,4.99,555,4.18,,,,
12/6/2024,Northeast,Fruit,"Apples, Processed",JUICE,No,64 oz (1/2 gallon),N/A,1.5,6.19,671,2.46,,,,
12/6/2024,Northeast,Fruit,Watermelons,RED FLESH SEEDLESS MINIATURE,No,each,N/A,3.5,3.5,162,3.5,,,,
12/6/2024,Northeast,Fruit,Strawberries,N/A,No,1 lb package,N/A,3.49,4.49,195,3.84,,,,
12/6/2024,Northeast,Fruit,Raspberries,N/A,Yes,6 oz package,N/A,3.99,3.99,183,3.99,,,,
12/6/2024,Northeast,Fruit,Raspberries,N/A,No,6 oz package,N/A,2.99,3.99,555,3.58,,,,
12/6/2024,Northeast,Fruit,Pomegranates,N/A,No,each,N/A,1.5,3.99,1046,2.53,,,,
12/6/2024,Northeast,Fruit,Pineapples,N/A,Yes,each,N/A,3.99,3.99,34,3.99,,,,
12/6/2024,Northeast,Fruit,Pineapples,N/A,No,each,N/A,1.49,3.49,2289,2.35,,,,
12/6/2024,Northeast,Fruit,Persimmons,N/A,No,each,N/A,1.5,2.5,199,2.45,,,,
12/6/2024,Northeast,Fruit,Pears,BOSC,Yes,2 lb bag,N/A,4.99,4.99,190,4.99,,,,
12/6/2024,Northeast,Fruit,Pears,BARTLETT,Yes,2 lb bag,N/A,4.49,4.99,249,4.87,,,,
